//{0,0x0028,0x0000,UL,1,"""Group 0028 Length""",},//
{0,0x0028,0x0002,US,1,"""Samples per Pixel""",},//
{0,0x0028,0x0004,CS,1,"""Photometric Interpretation""",},//
{0,0x0028,0x0005,US,1,"""Image Dimensions (RET)""",},//
{0,0x0028,0x0006,US,1,"""Planar Configuration""",},//
{0,0x0028,0x0008,IS,1,"""Number of Frames""",},//
{0,0x0028,0x0009,AT,-1,"""Frame Increment Pointer""",},//
{0,0x0028,0x0010,US,1,"""Rows""",},//
{0,0x0028,0x0011,US,1,"""Columns""",},//
{0,0x0028,0x0012,US,1,"""Planes""",},//
{0,0x0028,0x0014,US,1,"""Ultrasound Color Data Present""",},//
{0,0x0028,0x0030,DS,2,"""Pixel Spacing""",},//
{0,0x0028,0x0031,DS,2,"""Zoom Factor""",},//
{0,0x0028,0x0032,DS,2,"""Zoom Center""",},//
{0,0x0028,0x0034,IS,2,"""Pixel Aspect Ratio""",},//
{0,0x0028,0x0040,SH,1,"""Image Format (RET)""",},//
{0,0x0028,0x0050,SH,1,"""Manipulated Image (RET)""",},//
{0,0x0028,0x0051,CS,-1,"""Corrected Image""",},//
{0,0x0028,0x0060,SH,1,"""Compression Code (RET)""",},//
{0,0x0028,0x0100,US,1,"""Bits Allocated""",},//
{0,0x0028,0x0101,US,1,"""Bits Stored""",},//
{0,0x0028,0x0102,US,1,"""High Bit""",},//
{0,0x0028,0x0103,US,1,"""Pixel Representation""",},//
{0,0x0028,0x0104,US,1,"""Smallest Valid Pixel Value (RET)""",},//
{0,0x0028,0x0105,US,1,"""Largest Valid Pixel Value (RET)""",},//
{0,0x0028,0x0106,US,1,"""Smallest Image Pixel Value""",},//
{0,0x0028,0x0106,SS,1,"""Smallest Image Pixel Value""",},//
{0,0x0028,0x0107,US,1,"""Largest Image Pixel Value""",},//
{0,0x0028,0x0107,SS,1,"""Largest Image Pixel Value""",},//
{0,0x0028,0x0108,US,1,"""Smallest Pixel Value in Series""",},//
{0,0x0028,0x0108,SS,1,"""Smallest Pixel Value in Series""",},//
{0,0x0028,0x0109,US,1,"""Largest Pixel Value in Series""",},//
{0,0x0028,0x0109,SS,1,"""Largest Pixel Value in Series""",},//
{0,0x0028,0x0110,US,1,"""Smallest Image Pixel Value in Plane""",},//
{0,0x0028,0x0110,SS,1,"""Smallest Image Pixel Value in Plane""",},//
{0,0x0028,0x0111,US,1,"""Largest Image Pixel Value in Plane""",},//
{0,0x0028,0x0111,SS,1,"""Largest Image Pixel Value in Plane""",},//
{0,0x0028,0x0120,US,1,"""Pixel Padding Value""",},//
{0,0x0028,0x0120,SS,1,"""Pixel Padding Value""",},//
{0,0x0028,0x0200,US,1,"""Image Location (RET)""",},//
{0,0x0028,0x0300,CS,1,"""Quality Control Image""",},//
{0,0x0028,0x0301,CS,1,"""Burned In Annotation""",},//
{0,0x0028,0x1040,CS,1,"""Pixel Intensity Relationship""",},//
{0,0x0028,0x1041,SS,1,"""Pixel Intensity Relationship Sign""",},//
{0,0x0028,0x1050,DS,-1,"""Window Center""",},//
{0,0x0028,0x1051,DS,-1,"""Window Width""",},//
{0,0x0028,0x1052,DS,1,"""Rescale Intercept""",},//
{0,0x0028,0x1053,DS,1,"""Rescale Slope""",},//
{0,0x0028,0x1054,LO,1,"""Rescale Type""",},//
{0,0x0028,0x1055,LO,-1,"""Window Center & Width Explanation""",},//
{0,0x0028,0x1080,SH,1,"""Gray Scale (RET)""",},//
{0,0x0028,0x1090,CS,1,"""Recommended Viewing Mode""",},//
{0,0x0028,0x1100,US,1,"""Gray Lookup Table Descriptor (RET)""",},//
{0,0x0028,0x1101,US,3,"""Red Palette Color Lookup Table Descriptor""",},//
{0,0x0028,0x1101,SS,3,"""Red Palette Color Lookup Table Descriptor""",},//
{0,0x0028,0x1102,US,3,"""Green Palette Color Lookup Table Descriptor""",},//
{0,0x0028,0x1102,SS,3,"""Green Palette Color Lookup Table Descriptor""",},//
{0,0x0028,0x1103,US,3,"""Blue Palette Color Lookup Table Descriptor""",},//
{0,0x0028,0x1103,SS,3,"""Blue Palette Color Lookup Table Descriptor""",},//
{0,0x0028,0x1199,UI,1,"""Palette Color Lookup Table UID""",},//
{0,0x0028,0x1200,US,1,"""Gray Lookup Table Data (RET)""",},//
{0,0x0028,0x1201,OW,1,"""Red Palette Color Lookup Table Data""",},//
{0,0x0028,0x1202,OW,1,"""Green Palette Color Lookup Table Data""",},//
{0,0x0028,0x1203,OW,1,"""Blue Palette Color Lookup Table Data""",},//
{0,0x0028,0x1221,OW,1,"""Segmented Red Palette Color Lookup Table Data""",},//
{0,0x0028,0x1222,OW,1,"""Segmented Green Palette Color Lookup Table Data""",},//
{0,0x0028,0x1223,OW,1,"""Segmented Blue Palette Color Lookup Table Data""",},//
{0,0x0028,0x1300,CS,1,"""Implant Present""",},//
{0,0x0028,0x1350,CS,1,"""Partial View""",},//
{0,0x0028,0x1351,ST,1,"""Partial View Description""",},//
{0,0x0028,0x2110,CS,1,"""Lossy Image Compression""",},//
{0,0x0028,0x2112,DS,-1,"""Lossy Image Compression Ratio""",},//
